241781,6423231
9766393,501879
6416269,3468991
7188275,5944538
1293846,2308531
9563825,8689858
5481815,7923847
1225161,1093759
6605961,6926872
9362816,2402339
5061012,4618971
7444500,8303169
8778295,8933730
1859092,2548887
4236722,6888798
7120990,2743989
4999609,5030525
5419647,4849276
2531598,6298107
6903336,2491937
1316435,858715
3865111,4604177
4049337,4707165
1290620,8231780
8472783,93089
8522952,6149680
7074719,7779407
3878110,4126417
3054282,3013273
3062751,438327
7653493,2916494
1161336,2325189
954034,1369410
3218676,1794926
9649673,734690
6130977,411125
9521963,6115736
7588117,6219160
2027608,6841137
3411654,9079966
9405122,9384172
1345355,4516243
2388202,5648397
7432129,9470829
2390913,5273
945487,9389129
3323490,2096165
5886139,4147635
4939916,4922176
9100670,9290497
2313544,5329946
8509065,2258461
8731358,8449391
8584917,5406320
7891028,998048
2951471,9082744
9115080,2574852
93369,9357125
7469290,2734170
4988578,5317393
4099315,2908104
6796626,6997710
1629604,2430522
4789035,5427459
3276874,906266
9521906,1004137
2196889,7374846
5540368,7209770
6002842,3359280
2664111,1543651
7537598,1650190
8412723,1812851
3367884,9339464
624267,7397405
1399059,8212302
8812813,106195
6290622,5401089
4610550,9177402
1471001,6596966
3837862,743912
8718908,5890630
8955928,5011753
7704343,6197409
5283090,9572504
4576151,2312403
6208748,5772280
2904360,7863448
930182,3355654
1051023,2561290
5673186,1222287
7706046,3246875
4362447,1628361
2370814,6783061
7998196,9194838
3012361,8782380
205441,8800109
1541589,520121
7867838,6673100
9372408,5233669
9793020,472893
7460870,375797
6491693,7306387
2110267,7925248
5147630,1163894
406875,4829905
6717509,3344226
8046212,2317776
8442839,4533042
9797603,6886620
4118001,9746459
6903301,233715
2212133,4129339
4924075,4264885
9018011,2834743
9486947,2850399
9223971,7727365
8868705,4505187
4488997,1469149
2058528,7135012
7382264,7608948
4411954,6085962
3761165,7429724
3965547,4371510
9162233,2247874
418993,9800948
7346593,8414460
7086342,5419911
6186962,3728705
9081707,4495920
4713311,2393549
7115221,6281062
9347793,9050826
7306192,8600323
5849740,8406144
4043111,8183173
8329062,8824084
4775159,1185586
2978226,3348364
2509337,5865110
7184430,9435682
1396091,8722285
1792801,7387659
7388339,7906153
3131017,689831
6185503,9959938
3497343,8227176
7936349,5648791
2755228,876200
8782302,7416004
3328447,1441739
2281980,1315036
2414783,9533643
7134795,9872052
5389783,1522521
2157473,1708158
982258,7372355
6455254,3335208
6292094,8343938
9788450,5394391
5623563,3198891
7317131,5223383
9784801,5174613
978063,6180775
2745317,9128689
2987383,6905399
3432025,560164
4944172,3910305
2129487,2857074
157000,3665902
7269857,4556233
1121860,9801952
268486,6745313
4549133,4328864
2781702,2074158
5826822,6777080
5341980,4698207
4639634,5887991
6863829,4568351
3347979,8260747
6489205,2987574
6786753,9409664
9877628,3183154
2896106,4586245
2713768,652202
787642,3831045
8025857,8846904
8452421,5535784
6026455,2205909
6368616,722774
2620066,7511244
2378904,8957221
8109281,7927393
8319938,1527840
112373,1175504
148846,2738910
1171410,5929207
5170161,9190747
3201155,1657766
6341525,6678277
1134438,2276497
2486657,5090967
3008698,5549348
2860366,1916101
8319803,5203848
4219150,4749537
